top - 17:59:55 up 5 days,  7:05,  1 user,  load average: 3.55, 3.92, 4.01
Tasks: 474 total,   2 running, 472 sleeping,   0 stopped,   0 zombie
%Cpu(s): 28.4 us, 13.6 sy,  0.0 ni, 58.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15900.2 total,    284.0 free,  10360.2 used,   5255.9 buff/cache
MiB Swap:   2048.0 total,    777.9 free,   1270.1 used.   3786.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  70014 nishant+  20   0  279820  10624   9264 S   0.0   0.1   0:00.03 gvfsd-h+
  70345 root      20   0 1222384   3656   2980 S   0.0   0.0   0:00.13 docker-+
  70359 root      20   0 1223536   3124   2572 S   0.0   0.0   0:00.13 docker-+
  70373 root      20   0 1222128   3036   2484 S   0.0   0.0   0:00.13 docker-+
  70387 root      20   0 1297780   3120   2564 S   0.0   0.0   0:00.13 docker-+
  70402 root      20   0 1223792   3116   2568 S   0.0   0.0   0:00.22 docker-+
  70415 root      20   0  114108   7764   6952 S   0.0   0.0   0:12.38 contain+
  70438 root      20   0   22532   9312   6020 S   0.0   0.1   0:06.21 systemd
  70746 root      19  -1  146436  94788  93908 S   0.0   0.6   2:15.79 systemd+
  70761 tcpdump   20   0    7004   3416   3092 S   0.0   0.0   0:00.00 dbus-da+
  70766 root      20   0 1874084  29720   7976 S   0.0   0.2  28:23.46 contain+
  70774 root      20   0   12180   4024   3104 S   0.0   0.0   0:00.01 sshd
  72130 root      20   0 3204504  71100  18524 S   0.0   0.4 210:10.53 dockerd
  72342 root      20   0  742340  26332   9332 S   0.0   0.2 115:18.82 cri-doc+
  73802 root      20   0  712656   5132   3296 S   0.0   0.0   0:17.75 contain+
  73803 root      20   0  712656   4844   3028 S   0.0   0.0   0:18.22 contain+
  73817 root      20   0  712656   4980   3344 S   0.0   0.0   0:18.53 contain+
  73822 root      20   0  712656   4904   3080 S   0.0   0.0   0:17.49 contain+
  73884 65535     20   0     972      4      0 S   0.0   0.0   0:00.03 pause
  73886 65535     20   0     972      4      0 S   0.0   0.0   0:00.03 pause
  73899 65535     20   0     972      4      0 S   0.0   0.0   0:00.03 pause
  73910 65535     20   0     972      4      0 S   0.0   0.0   0:00.04 pause
  74071 root      20   0  712656   5956   3656 S   0.0   0.0   2:24.87 contain+
  74107 root      20   0  712400   5784   3024 S   0.0   0.0   2:24.13 contain+
  74127 root      20   0   10.7g  73972  15284 S   0.0   0.5  46:55.49 etcd
  74134 root      20   0  712400   5256   2940 S   0.0   0.0   2:24.95 contain+
  74159 root      20   0  712656   5624   3308 S   0.0   0.0   2:24.95 contain+
  74177 root      20   0  820148  73360  25384 S   0.0   0.5  45:51.08 kube-co+
  74206 root      20   0  752392  28928  14284 S   0.0   0.2   7:43.60 kube-sc+
  75381 root      20   0  712656   4804   3024 S   0.0   0.0   0:18.84 contain+
  75408 65535     20   0     972      4      0 S   0.0   0.0   0:00.03 pause
  75466 root      20   0  712656   5004   3360 S   0.0   0.0   0:18.67 contain+
  75508 65535     20   0     972      4      0 S   0.0   0.0   0:00.02 pause
  75519 root      20   0  712400   4736   2832 S   0.0   0.0   0:18.19 contain+
  75553 65535     20   0     972      4      0 S   0.0   0.0   0:00.01 pause
  75582 root      20   0  712656   5988   3296 S   0.0   0.0   2:31.57 contain+
  75619 root      20   0  751352  22252  10116 S   0.0   0.1   5:54.39 coredns
  75658 root      20   0  712656   5492   2960 S   0.0   0.0   2:28.95 contain+
  75706 root      20   0  746352  17800   8088 S   0.0   0.1   0:40.42 kube-pr+
  75766 root      20   0  712656   3736   2092 S   0.0   0.0   0:20.12 contain+
  75803 65535     20   0     972      4      0 S   0.0   0.0   0:00.01 pause
  76013 root      20   0  712656   5128   3344 S   0.0   0.0   0:18.62 contain+
  76039 root      20   0  712400   4972   3028 S   0.0   0.0   0:17.03 contain+
  76050 65535     20   0     972      4      0 S   0.0   0.0   0:00.04 pause
  76082 root      20   0  712400   4872   2904 S   0.0   0.0   0:19.39 contain+
  76113 65535     20   0     972      4      0 S   0.0   0.0   0:00.04 pause
  76127 65535     20   0     972      4      0 S   0.0   0.0   0:00.04 pause
  76251 root      20   0  712656   5944   3880 S   0.0   0.0   2:25.85 contain+
  76281 itadmin   20   0     216      0      0 S   0.0   0.0   0:00.01 dumb-in+
  76315 itadmin   20   0 1744004 330768   9344 S   0.0   2.0  23:40.36 node
  77552 root      20   0  712656   6180   3500 S   0.0   0.0   2:31.49 contain+
  77572 itadmin   20   0 4255952 443448  15988 S   0.0   2.7  29:26.89 java
  77980 root      20   0  712656   6756   4092 S   0.0   0.0   2:25.63 contain+
  78051 itadmin   20   0 4253744 450824  16020 S   0.0   2.8  21:22.78 java
  78173 root      20   0  712656   5872   3380 S   0.0   0.0   2:23.09 contain+
  78204 itadmin   20   0 4253292 465484  16156 S   0.0   2.9  25:12.65 java
  78735 itadmin   20   0   70460   1280    684 S   0.0   0.0   0:00.01 control+
  78761 itadmin   20   0   70460   1284    692 S   0.0   0.0   0:00.07 control+
  79007 itadmin   20   0   70460   1280    692 S   0.0   0.0   0:00.01 control+
  81275 root      20   0  712400   5492   3080 S   0.0   0.0   2:30.53 contain+
  81304 root      20   0  736240  24716  14908 S   0.0   0.2   5:11.26 storage+
  84368 nishant+  20   0 1129.9g 164828 110864 S   0.0   1.0   1:11.87 chrome
  96171 nishant+  20   0 1129.9g 131688  96952 S   0.0   0.8   0:08.51 chrome
 363589 nishant+  20   0 1129.9g 179364 110420 S   0.0   1.1   0:37.69 chrome
 366888 nishant+  20   0   21164   7060   3692 S   0.0   0.0   0:00.46 bash
 396795 nishant+  20   0 1129.9g 138812 103804 S   0.0   0.9   0:10.16 chrome
 416205 nishant+  20   0 1129.9g 306596 123284 S   0.0   1.9   1:35.76 chrome
 441146 nishant+  20   0 1129.9g 163136 111372 S   0.0   1.0   0:24.42 chrome
 441377 nishant+  20   0 1129.9g 158880 109028 S   0.0   1.0   0:28.54 chrome
 441411 nishant+  20   0 1129.9g 177316 109808 S   0.0   1.1   0:40.01 chrome
 451978 nishant+  20   0 1129.9g 174400 108056 S   0.0   1.1   0:15.40 chrome
 664159 nishant+  20   0 1129.9g 138320  99172 S   0.0   0.8   0:12.73 chrome
 757841 nishant+  20   0   19560   5884   4084 S   0.0   0.0   0:00.44 bash
 792871 nishant+  20   0 1129.9g 158188 110972 S   0.0   1.0   0:16.38 chrome
 828997 nishant+  20   0 1129.9g 121208  93360 S   0.0   0.7   0:05.67 chrome
 829015 nishant+  20   0 1129.9g 221856 109280 S   0.0   1.4   0:38.76 chrome
 835375 nishant+  20   0 1129.9g 224136 108900 S   0.0   1.4   0:42.13 chrome
 836651 nishant+  20   0  876620  42128  26788 S   0.0   0.3   0:01.30 gnome-c+
 897403 nishant+  20   0 1129.9g 155360 107592 S   0.0   1.0   0:15.46 chrome
 903735 nishant+  20   0 1129.9g 380852 139476 S   0.0   2.3   4:01.56 chrome
 919284 root      20   0  114108   7492   6764 S   0.0   0.0   0:08.07 contain+
 919306 systemd+  20   0 1228824 197856  17824 S   0.0   1.2   1:17.74 mysqld
 919390 root      20   0 1222384   3160   2576 S   0.0   0.0   0:00.08 docker-+
 919396 root      20   0 1296628   3044   2484 S   0.0   0.0   0:00.10 docker-+
 919421 root      20   0  112188   6216   5672 S   0.0   0.0   0:07.20 contain+
 919457 root      20   0  233340  34000  26640 S   0.0   0.2   0:04.56 apache2
 919839 www-data  20   0  309164  50128  39096 S   0.0   0.3   0:01.18 apache2
 919851 www-data  20   0  233824  10888   3312 S   0.0   0.1   0:00.00 apache2
 919852 www-data  20   0  233824  10876   3312 S   0.0   0.1   0:00.00 apache2
 919862 www-data  20   0  233824  10896   3312 S   0.0   0.1   0:00.00 apache2
 957405 root      20   0  112700   7060   6328 S   0.0   0.0   0:07.20 contain+
 957428 root      20   0    8936   5556   4680 S   0.0   0.0   0:00.19 nginx
 957483 systemd+  20   0    9324   2604   1440 S   0.0   0.0   0:00.00 nginx
 957484 systemd+  20   0    9324   2604   1440 S   0.0   0.0   0:00.00 nginx
 957485 systemd+  20   0    9324   2604   1440 S   0.0   0.0   0:00.00 nginx
 957486 systemd+  20   0    9324   2604   1440 S   0.0   0.0   0:00.00 nginx
 974321 www-data  20   0  233848  11044   3312 S   0.0   0.1   0:00.00 apache2
 974351 www-data  20   0  309140  45620  34844 S   0.0   0.3   0:00.27 apache2
 974353 www-data  20   0  233824  10916   3312 S   0.0   0.1   0:00.00 apache2
 974354 www-data  20   0  233824  10932   3312 S   0.0   0.1   0:00.00 apache2
 974355 www-data  20   0  233824  10908   3312 S   0.0   0.1   0:00.00 apache2
 974356 www-data  20   0  233840  11136   3312 S   0.0   0.1   0:00.15 apache2
1165833 nishant+  20   0 1129.9g 314880 127248 S   0.0   1.9   1:36.22 chrome
1287906 nishant+  20   0 1129.9g 174572 115472 S   0.0   1.1   2:38.71 chrome
1395381 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/128+
1403305 nishant+  20   0 1129.9g 164808 111396 S   0.0   1.0   0:09.54 chrome
1465218 nishant+  20   0 1129.9g 165176 110788 S   0.0   1.0   0:09.82 chrome
1465546 nishant+  20   0 1129.9g 160344 114536 S   0.0   1.0   0:31.34 chrome
1512727 nishant+  20   0 1129.9g 173880 114040 S   0.0   1.1   0:16.22 chrome
1655956 nishant+  20   0 1130.9g 175176 112972 S   0.0   1.1   0:15.86 chrome
1672264 nishant+  20   0 1129.9g 175244 115008 S   0.0   1.1   0:30.75 chrome
1672607 nishant+  20   0 1129.9g 139696 106564 S   0.0   0.9   0:03.85 chrome
1682718 nishant+  20   0 1129.9g 158080 111200 S   0.0   1.0   0:03.90 chrome
1687328 nishant+  20   0 1130.9g 158860 107376 S   0.0   1.0   0:13.62 chrome
1688206 nishant+  20   0 1129.9g 133404 101020 S   0.0   0.8   0:03.96 chrome
1688236 nishant+  20   0 1129.9g 151284 106492 S   0.0   0.9   0:08.16 chrome
1688563 nishant+  20   0 1134.0g 222060 117896 S   0.0   1.4  12:47.59 chrome
1688574 nishant+  20   0 1129.9g 166344 109416 S   0.0   1.0   0:43.76 chrome
1688598 nishant+  20   0 1129.9g 113112  88528 S   0.0   0.7   0:02.27 chrome
1688621 nishant+  20   0 1129.9g  94300  76868 S   0.0   0.6   0:00.74 chrome
1688932 nishant+  20   0 1129.9g  99056  80532 S   0.0   0.6   0:00.86 chrome
1688942 nishant+  20   0 1129.9g  95332  77992 S   0.0   0.6   0:00.75 chrome
1688956 nishant+  20   0 1129.9g  97980  80812 S   0.0   0.6   0:00.84 chrome
1691241 nishant+  20   0 1130.9g 186552 120360 S   0.0   1.1   0:31.43 chrome
1697106 nishant+  20   0 1129.9g 199408 119928 S   0.0   1.2   0:50.58 chrome
1717543 nishant+  20   0   36.9g 175312 125312 S   0.0   1.1   1:46.71 code
1717546 nishant+  20   0   32.2g  47744  39372 S   0.0   0.3   0:00.01 code
1717547 nishant+  20   0   32.2g  47984  39628 S   0.0   0.3   0:00.02 code
1717549 nishant+  20   0   32.2g   8384      8 S   0.0   0.1   0:00.00 code
1717563 nishant+  20   0   32.0g   3076   2812 S   0.0   0.0   0:00.00 chrome_+
1717579 nishant+  20   0   32.5g 123724  80520 S   0.0   0.8   4:56.76 code
1717588 nishant+  20   0   32.3g  65996  56572 S   0.0   0.4   0:05.11 code
1717627 nishant+  20   0   44.5g 139796 102012 S   0.0   0.9   0:32.70 code
1717640 nishant+  20   0   36.4g 151340  71728 S   0.0   0.9   1:20.36 code
1717655 nishant+  20   0   36.4g  86204  58352 S   0.0   0.5   0:40.52 code
1717694 nishant+  20   0   36.4g  75032  58000 S   0.0   0.5   0:05.00 code
1717704 nishant+  20   0  804576 104116  10284 S   0.0   0.6   3:01.76 terrafo+
1723782 nishant+  20   0 1129.9g 101108  81260 S   0.0   0.6   0:01.21 chrome
1723804 nishant+  20   0 1129.9g  97160  79808 S   0.0   0.6   0:00.71 chrome
1723825 nishant+  20   0 1129.9g  97148  78808 S   0.0   0.6   0:00.87 chrome
1723838 nishant+  20   0 1129.9g  98408  80652 S   0.0   0.6   0:00.83 chrome
1782148 nishant+  20   0   36.4g  75836  58064 S   0.0   0.5   0:02.25 code
1893601 nishant+  20   0 1130.9g 175440  92348 S   0.0   1.1   0:38.83 chrome
2199240 lp        20   0   15332   6492   5696 S   0.0   0.0   0:00.01 dbus
2214077 nishant+  20   0 1081180  73996  47544 S   0.0   0.5   0:06.09 nautilus
2223725 root       0 -20       0      0      0 I   0.0   0.0   0:04.80 kworker+
2256568 nishant+  20   0   19584   5624   3832 S   0.0   0.0   0:00.86 bash
2282927 root       0 -20       0      0      0 I   0.0   0.0   0:02.59 kworker+
2283543 root      20   0       0      0      0 I   0.0   0.0   0:01.13 kworker+
2283568 root      20   0       0      0      0 I   0.0   0.0   0:01.65 kworker+
2284173 root      20   0       0      0      0 I   0.0   0.0   0:01.20 kworker+
2298362 root      20   0       0      0      0 I   0.0   0.0   0:00.95 kworker+
2299959 root      20   0       0      0      0 I   0.0   0.0   0:03.02 kworker+
2301265 root      20   0       0      0      0 I   0.0   0.0   0:00.25 kworker+
2301517 root      20   0       0      0      0 I   0.0   0.0   0:00.93 kworker+
2306845 root      20   0       0      0      0 I   0.0   0.0   0:00.53 kworker+
2309514 nishant+  20   0 1129.9g 190440 115920 S   0.0   1.2   0:21.48 chrome
2310293 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker+
2310308 nishant+  20   0 1129.9g 155644 114412 S   0.0   1.0   0:05.49 chrome
2310329 root      20   0       0      0      0 I   0.0   0.0   0:00.55 kworker+
2313144 root      20   0       0      0      0 I   0.0   0.0   0:00.50 kworker+
2315041 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
2316160 nishant+  20   0 1129.9g  68192  52304 S   0.0   0.4   0:00.04 chrome
2319345 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker+
2324122 root      20   0       0      0      0 I   0.0   0.0   0:00.14 kworker+
2324130 root      20   0  712656   9236   7052 S   0.0   0.1   0:00.06 contain+
2324154 root      20   0  712656  10104   7960 S   0.0   0.1   0:00.04 contain+
2324176 nobody    20   0     972      4      0 S   0.0   0.0   0:00.31 pause
2324194 nobody    20   0     972      4      0 S   0.0   0.0   0:00.25 pause
2324199 root      20   0  712144   9592   7244 S   0.0   0.1   0:00.09 contain+
2324241 nobody    20   0     972      4      0 S   0.0   0.0   0:00.28 pause
2324248 root      20   0  712656   9744   7560 S   0.0   0.1   0:00.09 contain+
2324301 root      20   0  712464   8884   6928 S   0.0   0.1   0:00.05 contain+
2324320 nobody    20   0     972      4      0 S   0.0   0.0   0:00.30 pause
2324360 nobody    20   0     972      4      0 S   0.0   0.0   0:00.18 pause
2324386 root      20   0  712656   9704   7428 S   0.0   0.1   0:00.20 contain+
2324438 nobody    20   0  717828  17408  10988 S   0.0   0.1   0:00.73 node_ex+
2324515 root      20   0  712656  10248   7492 S   0.0   0.1   0:00.14 contain+
2324535 nobody    20   0  728092  29800  17952 S   0.0   0.2   0:00.47 alertma+
2324560 root      20   0  712656  10420   7620 S   0.0   0.1   0:00.18 contain+
2324585 nobody    20   0  717496  16644  10464 S   0.0   0.1   0:00.20 pushgat+
2324598 root      20   0  712400  10352   7616 S   0.0   0.1   0:00.17 contain+
2324617 root      20   0  712912   9928   7428 S   0.0   0.1   0:00.16 contain+
2324669 nobody    20   0  741012  35288  26116 S   0.0   0.2   0:00.50 kube-st+
2324700 nobody    20   0  711840   6656   5668 S   0.0   0.0   0:00.06 configm+
2324772 root      20   0  712656  10264   7768 S   0.0   0.1   0:00.18 contain+
2324890 nobody    20   0  710432   6432   5516 S   0.0   0.0   0:00.12 configm+
2325001 root      20   0  712656  10032   7424 S   0.0   0.1   0:00.16 contain+
2325038 nobody    20   0  848616 160428  45864 S   0.0   1.0   0:03.02 prometh+
2326289 nishant+  20   0  773740  80256  41104 S   0.0   0.5   0:02.62 terrafo+
2327036 nishant+  20   0  715248  15008  11076 S   0.0   0.1   0:00.11 terrafo+
2327302 nishant+  20   0    2620    532    460 S   0.0   0.0   0:00.00 sh
