top - 17:59:55 up 5 days,  7:05,  1 user,  load average: 3.55, 3.92, 4.01
Tasks: 474 total,   2 running, 472 sleeping,   0 stopped,   0 zombie
%Cpu(s): 28.4 us, 13.6 sy,  0.0 ni, 58.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15900.2 total,    284.0 free,  10360.2 used,   5255.9 buff/cache
MiB Swap:   2048.0 total,    777.9 free,   1270.1 used.   3786.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    192 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    194 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    195 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    221 root      20   0       0      0      0 S   0.0   0.0   0:27.16 jbd2/sd+
    222 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    262 root      19  -1  128228  70956  69084 S   0.0   0.4   0:15.80 systemd+
    287 root      20   0   25000   7168   3528 S   0.0   0.0   0:01.39 systemd+
    352 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
    381 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    382 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    446 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    448 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    449 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    471 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 gfx
    472 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    473 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    474 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    475 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    476 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    477 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    478 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    479 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.+
    480 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 sdma0
    481 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 sdma1
    774 systemd+  20   0   25076  13564   9044 S   0.0   0.1   1:17.44 systemd+
    866 root      20   0    2548    768    700 S   0.0   0.0   0:03.97 acpid
    868 avahi     20   0   19968   4660   3080 S   0.0   0.0   6:13.90 avahi-d+
    869 root      20   0    8496   4724   4092 S   0.0   0.0   0:00.27 bluetoo+
    871 message+  20   0   35100   7016   3828 S   0.0   0.0  34:50.70 dbus-da+
    873 root      20   0  887380  22984  16124 S   0.0   0.1  36:06.86 Network+
    880 root      20   0   81896   3720   3392 S   0.0   0.0   0:18.24 irqbala+
    881 root      20   0   39992  19888  11512 S   0.0   0.1   0:00.18 network+
    883 root      20   0  265392  10164   6556 S   0.0   0.1   0:21.80 polkitd
    885 syslog    20   0  234536   4808   2972 S   0.0   0.0   0:05.05 rsyslogd
    890 root      20   0 1170772  44980  20444 S   0.0   0.3   0:52.70 snapd
    903 root      20   0   48908  13404  11384 S   0.0   0.1   0:04.88 sssd
    905 root      20   0  235604   5672   5120 S   0.0   0.0   0:00.02 switche+
    906 root      20   0  126268   8856   8028 S   0.0   0.1   5:48.64 thermald
    907 root      20   0  393868  12960   9488 S   0.0   0.1   0:26.78 udisksd
    909 root      20   0   14452   7016   5632 S   0.0   0.0   9:39.75 wpa_sup+
    916 avahi     20   0   18560    336      0 S   0.0   0.0   0:00.00 avahi-d+
    922 root      20   0  475712  44068  20764 S   0.0   0.3   1:42.76 vpnagen+
    944 root      20   0  850128  26280   4840 S   0.0   0.2   0:50.62 PanGPS
    964 root      20   0   24164   9636   8232 S   0.0   0.1   0:00.08 certmon+
    968 root      20   0   40884   5232   4760 S   0.0   0.0   0:00.00 oddjobd
    971 root      20   0 1271608  37504  12868 S   0.0   0.2   2:39.74 contain+
    974 root      20   0  241504  10092   8208 S   0.0   0.1   0:00.76 ModemMa+
    997 root      20   0  111828  21864  17476 S   0.0   0.1   0:07.99 sssd_be
   1004 _chrony   20   0   13024   2428   2112 S   0.0   0.0   0:01.44 chronyd
   1005 _chrony   20   0    4864   2228   2012 S   0.0   0.0   0:00.02 chronyd
   1056 root      20   0   62388  14036  12348 S   0.0   0.1   0:03.12 sssd_nss
   1057 root      20   0   38032  12812  11040 S   0.0   0.1   0:02.23 sssd_pam
   1058 root      20   0   37524  12004  10516 S   0.0   0.1   0:01.92 sssd_ssh
   1059 root      20   0   37660  12324  10732 S   0.0   0.1   0:01.84 sssd_su+
   1060 root      20   0   78036  15700  13528 S   0.0   0.1   0:01.87 sssd_pac
   1075 root      20   0  246920   7652   6492 S   0.0   0.0   0:05.47 account+
   1076 root      20   0    9424   2956   2696 S   0.0   0.0   0:00.35 cron
   1077 root      20   0   37792   9944   7380 S   0.0   0.1   0:01.10 cupsd
   1078 root      20   0  180556  16784  10988 S   0.0   0.1   0:10.41 cups-br+
   1079 root      20   0   25988   8448   7276 S   0.0   0.1   0:02.10 systemd+
   1091 root      20   0  360428  20952  16864 S   0.0   0.1   0:17.21 anydesk
   1105 root      20   0  239616   8596   7272 S   0.0   0.1   0:00.24 gdm3
   1106 colord    20   0  255000  14688   9264 S   0.0   0.1   0:00.58 colord
   1142 root      20   0  118152  22548  14652 S   0.0   0.1   0:00.08 unatten+
   1182 rtkit     21   1  152936   2856   2620 S   0.0   0.0   0:02.35 rtkit-d+
   1183 root      20   0    2496    504    444 S   0.0   0.0   0:00.78 bpfilte+
   1339 root      20   0  252332   9368   7976 S   0.0   0.1   0:21.33 upowerd
   1444 geoclue   20   0  902740  22904  13800 S   0.0   0.1  23:44.62 geoclue
   1645 root      20   0 1687788  66564  32748 S   0.0   0.4   3:39.16 dockerd
   1647 mongodb   20   0 1522616  99956  40492 S   0.0   0.6  23:07.60 mongod
   1649 whoopsie  20   0  400592  15240  13236 S   0.0   0.1   0:00.82 whoopsie
   1656 kernoops  20   0   11264    444      0 S   0.0   0.0   0:19.76 kernelo+
